item,itemID,type,choices,complexity_category,definition,gloss
culaithsnámha,item_302,CLOTHES,produces; doesn't produce,,culaithsnámha,swimmingtogs
swimmingtogs,item_303,CLOTHES,produces; doesn't produce,,swimmingtogs,swimmingtogs
éadaí,item_304,CLOTHES,produces; doesn't produce,,éadaí,clothes
clothes,item_305,CLOTHES,produces; doesn't produce,,clothes,clothes
fáinne,item_306,CLOTHES,produces; doesn't produce,,fáinne,ring
ring,item_307,CLOTHES,produces; doesn't produce,,ring,ring
fobhríste,item_308,CLOTHES,produces; doesn't produce,,fobhríste_brístín,underpants
underpants,item_309,CLOTHES,produces; doesn't produce,,underpants,underpants
geansaí,item_310,CLOTHES,produces; doesn't produce,,geansaí,jumper
jumper,item_311,CLOTHES,produces; doesn't produce,,jumper,jumper
gúna,item_312,CLOTHES,produces; doesn't produce,,gúna,dress
dress,item_313,CLOTHES,produces; doesn't produce,,dress,dress
hata,item_314,CLOTHES,produces; doesn't produce,,hata,hat
hat,item_315,CLOTHES,produces; doesn't produce,,hat,hat
lámhainní,item_316,CLOTHES,produces; doesn't produce,,lámhainní_miteogaí,gloves
gloves,item_317,CLOTHES,produces; doesn't produce,,gloves_mittens,gloves
léine,item_318,CLOTHES,produces; doesn't produce,,léine,shirt
shirt,item_319,CLOTHES,produces; doesn't produce,,shirt,shirt
riteoga,item_320,CLOTHES,produces; doesn't produce,,riteoga,tights
tights,item_321,CLOTHES,produces; doesn't produce,,tights,tights
scairf,item_322,CLOTHES,produces; doesn't produce,,scairf_scarf_ie,scarf
sciorta,item_323,CLOTHES,produces; doesn't produce,,sciorta,skirt
skirt,item_324,CLOTHES,produces; doesn't produce,,skirt,skirt
seaicéad,item_325,CLOTHES,produces; doesn't produce,,seaicéad_casóg,skirt
jacket,item_326,CLOTHES,produces; doesn't produce,,jacket,jacket
zip,item_327,CLOTHES,produces; doesn't produce,,zip_sip_ie,zip
slipéir,item_328,CLOTHES,produces; doesn't produce,,slipéir,slipper
slipper,item_329,CLOTHES,produces; doesn't produce,,slipper,slipper
